,Country Name,Year,Value
735,Guinea,1991,1.051040053
736,Guyana,1991,
737,Honduras,1991,8.990010262
738,Hungary,1991,14.52085972
739,Iceland,1991,24.92248917
740,India,1991,6.038839817
741,Indonesia,1991,8.613180161
742,Iraq,1991,
743,Ireland,1991,27.93033981
744,Italy,1991,31.77528954
745,Japan,1991,29.77436066
746,Jordan,1991,22.19506073
747,Kenya,1991,
748,"Korea, Rep.",1991,37.93350983
749,Kuwait,1991,
750,Lao PDR,1991,
751,Latvia,1991,25.056840899999997
752,Lebanon,1991,
753,Lesotho,1991,1.326179981
754,Libya,1991,
755,Luxembourg,1991,4.789669991
756,"Macedonia, FYR",1991,15.26622963
757,Madagascar,1991,3.204080105
758,Malawi,1991,0.541689992
759,Malaysia,1991,7.9816598889999995
760,Mali,1991,0.635839999
761,Malta,1991,12.6724596
762,Mauritania,1991,2.696490049
763,Mauritius,1991,3.538609982
764,Mongolia,1991,15.86295033
765,Mozambique,1991,
766,Myanmar,1991,
767,Nepal,1991,5.952690125
768,Netherlands,1991,39.51599121
769,New Zealand,1991,44.558788299999996
770,Nicaragua,1991,7.6382498739999996
771,Niger,1991,
772,Nigeria,1991,
773,Norway,1991,42.33531952
774,Oman,1991,4.47329998
775,Panama,1991,22.65236092
776,Papua New Guinea,1991,
777,Paraguay,1991,
778,Peru,1991,31.91741943
779,Philippines,1991,27.161260600000002
780,Poland,1991,21.76199913
781,Portugal,1991,23.43029976
782,Qatar,1991,20.01729012
783,Romania,1991,9.621359825
784,Russian Federation,1991,
785,Rwanda,1991,
786,Saudi Arabia,1991,
787,Senegal,1991,
788,Sierra Leone,1991,
789,Slovenia,1991,
790,Spain,1991,
791,Sri Lanka,1991,
792,St. Kitts and Nevis,1991,
793,St. Lucia,1991,
794,Suriname,1991,
795,Swaziland,1991,
796,Sweden,1991,
797,Switzerland,1991,
798,Syrian Arab Republic,1991,
799,Tanzania,1991,
800,Thailand,1991,
801,Tonga,1991,
802,Trinidad and Tobago,1991,
803,Tunisia,1991,
804,Turkey,1991,
805,Uganda,1991,
806,Ukraine,1991,
807,United Arab Emirates,1991,
808,United Kingdom,1991,
809,United States,1991,
810,"Venezuela, RB",1991,
811,Zimbabwe,1991,
812,Albania,1992,9.29417038
813,Argentina,1992,
814,Australia,1992,39.38840866
815,Austria,1992,37.66069031
816,"Bahamas, The",1992,
817,Bahrain,1992,16.95248985
818,Bangladesh,1992,
819,Barbados,1992,27.39311981
820,Belarus,1992,43.8624115
821,Belgium,1992,
822,Benin,1992,2.271150112
823,Botswana,1992,
824,Bulgaria,1992,30.44894981
825,Burkina Faso,1992,0.930050015
826,Burundi,1992,0.846509993
827,Cambodia,1992,0.963750005
828,Cameroon,1992,
829,Central African Republic,1992,1.387009978
830,Chad,1992,
831,Chile,1992,23.956680300000002
832,China,1992,2.843889952
833,Colombia,1992,15.42356968
834,"Congo, Dem. Rep.",1992,
835,"Congo, Rep.",1992,5.244599818999999
836,Costa Rica,1992,31.40509033
837,Cote d'Ivoire,1992,2.752850056
838,Cuba,1992,19.71936035
839,Cyprus,1992,9.246979713
840,Czech Republic,1992,14.59228039
841,Denmark,1992,38.66210938
842,Dominica,1992,9.464900017
843,Ecuador,1992,
844,"Egypt, Arab Rep.",1992,
845,El Salvador,1992,
846,Fiji,1992,
847,Finland,1992,52.99055862
848,France,1992,42.81393051
849,Greece,1992,34.77109146
850,Guatemala,1992,
851,Guinea,1992,0.969099998
852,Guyana,1992,
853,Honduras,1992,9.37635994
854,Hungary,1992,14.92063999
855,Iceland,1992,29.60880089
856,India,1992,
857,Indonesia,1992,9.428839684
858,Iraq,1992,
859,Ireland,1992,30.35811043
860,Italy,1992,33.83098984
861,Japan,1992,29.96076965
862,Jordan,1992,21.40427017
863,Kenya,1992,
864,"Korea, Rep.",1992,39.50471878
865,Kuwait,1992,10.74108028
866,Lao PDR,1992,
867,Latvia,1992,25.55706978
868,Lebanon,1992,32.45146179
869,Lesotho,1992,2.266479969
870,Libya,1992,15.17508984
871,Luxembourg,1992,5.22066021
872,"Macedonia, FYR",1992,15.95118999
873,Madagascar,1992,
874,Malawi,1992,0.543240011
875,Malaysia,1992,9.076700211
876,Mali,1992,0.80558002
877,Malta,1992,14.20011044
878,Mauritania,1992,2.869940042
879,Mauritius,1992,
880,Mongolia,1992,14.14762974
881,Mozambique,1992,0.37439999
882,Myanmar,1992,4.345339775
883,Nepal,1992,5.412690163
884,Netherlands,1992,42.01200867
885,New Zealand,1992,50.51179886
886,Nicaragua,1992,8.36149025
887,Niger,1992,0.74466002
888,Nigeria,1992,
889,Norway,1992,46.01221085
890,Oman,1992,5.049280167
891,Panama,1992,24.21492958
892,Papua New Guinea,1992,
893,Paraguay,1992,
894,Peru,1992,31.53223038
895,Philippines,1992,25.82395935
896,Poland,1992,21.50987053
897,Portugal,1992,23.6657505
898,Qatar,1992,18.86108017
899,Romania,1992,10.80850983
900,Russian Federation,1992,
901,Rwanda,1992,
